urb_assunto_principalid;urb_name;urb_assuntoid;urb_assuntoid_subjectid
8dfd64cd-0068-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / ACOMPANHAR RETORNO DO TERMO ASSINADO;Acompanhar retorno do termo assinado.;a1b7cea8-ee5c-e811-b753-000000000085
2fc77213-f567-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / AGUARDAR RETORNO DA DOCUMENTAÇÃO;Aguardar retorno da documentação.;a1b7cea8-ee5c-e811-b753-000000000083
7d5a32f4-0368-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / ALTERAR ADITIVO CONTRATUAL;Alterar aditivo contratual.;a1b7cea8-ee5c-e811-b753-000000000088
72357e6c-0568-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / ANALISAR ESCRITURAÇÃO;Analisar escrituração.;a1b7cea8-ee5c-e811-b753-000000000090
b70ecbb6-fe67-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / PROVIDENCIAR SOLUÇÃO DE PENDÊNCIA;Providenciar solução de pendência.;a1b7cea8-ee5c-e811-b753-000000000086
7b7d2b45-f367-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / REALIZAR ANÁLISE DA SOLICITAÇÃO;Realizar análise da solicitação.;a1b7cea8-ee5c-e811-b753-000000000082
ef0eb78f-f667-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / REALIZAR CONFERÊNCIA;Realizar Conferência.;a1b7cea8-ee5c-e811-b753-000000000084
903a558b-1968-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / REVALIDAR TERMO;Revalidar termo.;a1b7cea8-ee5c-e811-b753-000000000096
cca3310d-0868-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / REVISAR ADITIVO;Revisar Aditivo.;a1b7cea8-ee5c-e811-b753-000000000089
57a483ed-0168-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / VALIDAR TERMO RECEBIDO;Validar termo recebido.;a1b7cea8-ee5c-e811-b753-000000000087
f87cd688-1868-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / CESSÃO DE DIREITOS / CESSÃO DE DIREITOS TOTAL/PARCIAL / VERIFICAR TERMO RETORNADO COM ERRO;Verificar termo retornado com erro.;a1b7cea8-ee5c-e811-b753-000000000095
5f7d2ca5-d165-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / ACOMPANHAR ASSINATURA DE ADITIVO;Acompanhar assinatura de aditivo.;a1b7cea8-ee5c-e811-b753-000000000070
31a934a6-6163-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / ACOMPANHAR CORREÇÃO DA MINUTA;Acompanhar correção da minuta.;a1b7cea8-ee5c-e811-b753-000000000063
932a1b76-5063-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / AGUARDAR CORRESPONDENTE BANCÁRIO;Aguardar correspondente bancário.;a1b7cea8-ee5c-e811-b753-000000000061
98a20ab3-5163-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / AGUARDAR MINUTA;Aguardar minuta.;a1b7cea8-ee5c-e811-b753-000000000062
7c117bd4-6663-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / ANALISAR DOCUMENTAÇÃO - FINANCIAMENTO BANCÁRIO;Analisar documentação - Financiamento Bancário.;a1b7cea8-ee5c-e811-b753-000000000065
87e5821e-6363-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / ASSINAR CONTRATO COM CLIENTE;Assinar contrato com cliente.;a1b7cea8-ee5c-e811-b753-000000000064
49f6d51f-a565-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / REALIZAR ALTERAÇÃO CONTRATUAL;Realizar alteração contratual;867305a7-7557-e711-aaaf-10604b0146ac
d2bc7831-4f63-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / REALIZAR ANÁLISE PARA FINANCIAMENTO;Realizar análise para financiamento.;a1b7cea8-ee5c-e811-b753-000000000060
51834286-d565-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / REVALIDAR DOCUMENTO;Revalidar documento.;a1b7cea8-ee5c-e811-b753-000000000075
356b5b05-a665-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / REVISAR ELABORAÇÃO;Revisar elaboração.;a1b7cea8-ee5c-e811-b753-000000000069
004308f3-d265-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / VALIDAR DOCUMENTO;Validar documento.;a1b7cea8-ee5c-e811-b753-000000000071
c3eb2329-a165-e811-b753-005056a75b8d;CONTRATOS E RECEBIMENTOS - RENEGOCIAÇÕES E ALTERAÇÕES CONTRATUAIS / FINANCIAMENTO BANCÁRIO / ASSINATURA DE FINANCIAMENTO / VALIDAR PROCESSO DE ENTREGA DE LOTES;Validar processo de Entrega de Lotes.;a1b7cea8-ee5c-e811-b753-000000000073
