Assunto Primário	Assunto	Título	Máscara de Recursos
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000060	Realizar análise para financiamento	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000061	Aguardar correspondente bancário	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000062	Aguardar minuta	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000063	Acompanhar correção da minuta	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000064	Assinar contrato com cliente	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000065	Analisar documentação - Financiamento Bancário	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000066	Ajustar dados cadastrais	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000067	Providenciar solução de recusa	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000069	Revisar elaboração	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000070	Acompanhar assinatura de aditivo	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000071	Validar documento	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000072	Inserir registro do imóvel	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000073	Validar processo de Entrega de Lotes	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000074	Verificar termo retornado com erro	1
5B6F077A-7057-E711-AAAF-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000075	Revalidar documento	1
