Assunto Primário	Assunto	Título	Máscara de Recursos
B65A237E-0245-E511-B5C0-10604B0146AC	4413230D-EC5C-E811-B753-005056A75B8D	Rescisão contratual – Portal Financeiro	1
4413230D-EC5C-E811-B753-005056A75B8D	BE3D88A3-ED5C-E811-B753-005056A75B8D	Validar processo de rescisão	1
4413230D-EC5C-E811-B753-005056A75B8D	8CD575D4-ED5C-E811-B753-005056A75B8D	Aguardar dados bancários	1
4413230D-EC5C-E811-B753-005056A75B8D	4BC0EB20-EE5C-E811-B753-005056A75B8D	Realizar distrato à revelia	1
4413230D-EC5C-E811-B753-005056A75B8D	ED99F473-EE5C-E811-B753-005056A75B8D	Providenciar solução de pendência	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-005056A75B8D	Realizar Conferência	1
4413230D-EC5C-E811-B753-005056A75B8D	CBE3AEE7-EE5C-E811-B753-005056A75B8D	Validar termo recebido	1
4413230D-EC5C-E811-B753-005056A75B8D	978B2E32-EF5C-E811-B753-005056A75B8D	Acompanhar retorno do termo assinado	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000001	Verificar termo retornado com erro	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000002	Alterar aditivo contratual	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000003	Realizar reembolso	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000004	Enviar via cliente	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000005	Revisar aditivo	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000007	Revalidar termo	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000008	Enviar termo atualizado	1
4413230D-EC5C-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000009	Atualizar dados cadastrais do cliente	1
