Assunto Primário	Assunto	Título	Máscara de Recursos
D6540870-0245-E511-B5C0-10604B0146AC	DA81A539-1960-E811-B753-005056A75B8D	Renegociação de Dívida	1
DA81A539-1960-E811-B753-005056A75B8D	A1B7CEA8-EE5C-E811-B753-000000000030	Análise de negociação, pagamento processado – Renegociação de dívida e Campanha	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000031	Realizar conferência – Reneg WEB/Campanha	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000032	Atualizar dados cadastrais do cliente	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000033	Revalidar renegociação com cliente	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000034	Validar renegociação financeira	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000035	Realizar Estorno da parcela	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000036	Revisar conferência	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000037	Processar antecipação de baixa	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000038	Acompanhar retorno do termo assinado	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000039	Validar termo recebido	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000040	Baixar parcela de carteira	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000041	Verificar termo retornado com erro	1
A1B7CEA8-EE5C-E811-B753-000000000030	A1B7CEA8-EE5C-E811-B753-000000000042	Revalidar termo	1
