Assunto Primário	Assunto	Título	Máscara de Recursos
D6540870-0245-E511-B5C0-10604B0146AC	A1B7CEA8-EE5C-E811-B753-000000000080	Cessão de Direitos	1
A1B7CEA8-EE5C-E811-B753-000000000080	A1B7CEA8-EE5C-E811-B753-000000000081	Cessão de Direitos Total/Parcial	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000082	Realizar análise da solicitação	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000083	Aguardar retorno da documentação	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000084	Realizar Conferência	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000085	Acompanhar retorno do termo assinado	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000086	Providenciar solução de pendência	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000087	Validar termo recebido	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000088	Alterar aditivo contratual	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000089	Revisar Aditivo	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000090	Analisar escrituração	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000091	Enviar via cliente	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000092	Atualizar dados cadastrais do cliente	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000094	Enviar termo atualizado	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000095	Verificar termo retornado com erro	1
A1B7CEA8-EE5C-E811-B753-000000000081	A1B7CEA8-EE5C-E811-B753-000000000096	Revalidar termo	1
