urb_name;urb_entidade;urb_campo_obrigatorio;urb_campo_adicionalid;urb_nome_logico;urb_campo_adicional_terefa;urb_campo_adicional_ocorrencia;urb_assuntoid_subjectid
DATA DO RECEBIMENTO;Tarefa;Sim;10ae1fbe-495f-e811-b753-005056a75b8d;URB_DATA_RECEBIMENTO;Data do Recebimento;;a1b7cea8-ee5c-e811-b753-000000000001
DATA DO RECEBIMENTO;Tarefa;Sim;50170c64-4b5f-e811-b753-005056a75b8d;URB_DATA_RECEBIMENTO;Data do Recebimento;;a1b7cea8-ee5c-e811-b753-000000000007
DATA DO RECEBIMENTO;Tarefa;Sim;b89005d4-5e5f-e811-b753-005056a75b8d;URB_DATA_RECEBIMENTO;Data do Recebimento;;978b2e32-ef5c-e811-b753-005056a75b8d
DATA DO RECEBIMENTO;Tarefa;Sim;ccf4860e-5f5f-e811-b753-005056a75b8d;URB_DATA_RECEBIMENTO;Data do Recebimento;;cbe3aee7-ee5c-e811-b753-005056a75b8d
DATA DO RECEBIMENTO;Tarefa;Sim;ef85f6db-d265-e811-b753-005056a75b8d;URB_DATA_RECEBIMENTO;Data do Recebimento;;a1b7cea8-ee5c-e811-b753-000000000071
DATA DO RECEBIMENTO;Tarefa;Sim;0d84a433-0268-e811-b753-005056a75b8d;URB_DATA_RECEBIMENTO;Data do Recebimento;;a1b7cea8-ee5c-e811-b753-000000000087
MOTIVOS DE PENDÊNCIA;Tarefa;Sim;33133bdb-1b60-e811-b753-005056a75b8d;URB_MOTIVOS_PENDENCIA;Motivos de Pendência;;a1b7cea8-ee5c-e811-b753-000000000031
MOTIVOS DE PENDÊNCIA;Tarefa;Sim;6a10333b-2260-e811-b753-005056a75b8d;URB_MOTIVOS_PENDENCIA;Motivos de Pendência;;a1b7cea8-ee5c-e811-b753-000000000034
MOTIVOS DE PENDÊNCIA;Tarefa;Sim;198b729e-2a60-e811-b753-005056a75b8d;URB_MOTIVOS_PENDENCIA;Motivos de Pendência;;a1b7cea8-ee5c-e811-b753-000000000036
NÚMERO DO SEDEX;Tarefa;Sim;6817db98-495f-e811-b753-005056a75b8d;URB_NUMERO_SEDEX;Número do Sedex;;a1b7cea8-ee5c-e811-b753-000000000001
NÚMERO DO SEDEX;Tarefa;Sim;dd3efe54-4b5f-e811-b753-005056a75b8d;URB_NUMERO_SEDEX;Número do Sedex;;a1b7cea8-ee5c-e811-b753-000000000007
NÚMERO DO SEDEX;Tarefa;Sim;9f4c66c6-5e5f-e811-b753-005056a75b8d;URB_NUMERO_SEDEX;Número do Sedex;;978b2e32-ef5c-e811-b753-005056a75b8d
NÚMERO DO SEDEX;Tarefa;Não;975e8757-5f5f-e811-b753-005056a75b8d;URB_NUMERO_SEDEX;Número do Sedex;;cbe3aee7-ee5c-e811-b753-005056a75b8d
NÚMERO DO SEDEX;Tarefa;Sim;5315e6c3-d265-e811-b753-005056a75b8d;URB_NUMERO_SEDEX;Número do Sedex;;a1b7cea8-ee5c-e811-b753-000000000071
NÚMERO DO SEDEX;Tarefa;Sim;dd5c4b27-0268-e811-b753-005056a75b8d;URB_NUMERO_SEDEX;Número do Sedex;;a1b7cea8-ee5c-e811-b753-000000000087
QTD. DE VIAS – TERMO;Tarefa;Sim;aa6ff7a5-495f-e811-b753-005056a75b8d;URB_QTDE_VIAS_TERMO;Qtd. de vias – Termo;;a1b7cea8-ee5c-e811-b753-000000000001
QTD. DE VIAS – TERMO;Tarefa;Sim;903682cc-5e5f-e811-b753-005056a75b8d;URB_QTDE_VIAS_TERMO;Qtd. de vias – Termo;;978b2e32-ef5c-e811-b753-005056a75b8d
