urb_motivo_fechamentoid;urb_name;urb_codigo_motivo_fechamento;urb_assuntoid_subjectid;urb_assuntoprincipalid_urb_assunto_principalid
05a21d62-f367-e811-b753-005056a75b8d;Abertura indevida;;a1b7cea8-ee5c-e811-b753-000000000082;7b7d2b45-f367-e811-b753-005056a75b8d
1536540b-d365-e811-b753-005056a75b8d;Aditivo incorreto (Rec. c/Pendência);2;a1b7cea8-ee5c-e811-b753-000000000071;004308f3-d265-e811-b753-005056a75b8d
04a77602-0268-e811-b753-005056a75b8d;Aditivo incorreto (Rec. c/Pendência);2;a1b7cea8-ee5c-e811-b753-000000000087;57a483ed-0168-e811-b753-005056a75b8d
1669f5d8-905e-e811-b753-005056a75b8d;Aditivo Incorreto (t6);;cbe3aee7-ee5c-e811-b753-005056a75b8d;d8ba82b0-905e-e811-b753-005056a75b8d
b5249372-ba5d-e811-b753-005056a75b8d;Aguardar dados bancários;;be3d88a3-ed5c-e811-b753-005056a75b8d;dcb4065c-ba5d-e811-b753-005056a75b8d
809d130a-6763-e811-b753-005056a75b8d;Ajustar dados cadastrais;;a1b7cea8-ee5c-e811-b753-000000000065;7c117bd4-6663-e811-b753-005056a75b8d
e5ab0f22-a665-e811-b753-005056a75b8d;Ajustar dados cadastrais;;a1b7cea8-ee5c-e811-b753-000000000069;356b5b05-a665-e811-b753-005056a75b8d
379b12c0-9d62-e811-b753-005056a75b8d;Atualizar Dadas Cadastrais;;a1b7cea8-ee5c-e811-b753-000000000036;372a9b97-9d62-e811-b753-005056a75b8d
afcf43af-1a60-e811-b753-005056a75b8d;Atualizar dados cadastrais;3;a1b7cea8-ee5c-e811-b753-000000000031;f89e9586-1a60-e811-b753-005056a75b8d
7c0840a5-f667-e811-b753-005056a75b8d;Atualizar dados cadastrais;;a1b7cea8-ee5c-e811-b753-000000000084;ef0eb78f-f667-e811-b753-005056a75b8d
84ccd422-0868-e811-b753-005056a75b8d;Atualizar dados cadastrais;;a1b7cea8-ee5c-e811-b753-000000000089;cca3310d-0868-e811-b753-005056a75b8d
0ec900e4-c65e-e811-b753-005056a75b8d;Atualizar dados cadastrais (t10);;a1b7cea8-ee5c-e811-b753-000000000005;1deae7ab-c65e-e811-b753-005056a75b8d
0808e80c-c35d-e811-b753-005056a75b8d;Atualizar dados cadastrais (t4);;a1b7cea8-ee5c-e811-b753-005056a75b8d;97173dd1-c25d-e811-b753-005056a75b8d
9014d401-2260-e811-b753-005056a75b8d;Baixar parcela de carteira;;a1b7cea8-ee5c-e811-b753-000000000034;f0e903df-2160-e811-b753-005056a75b8d
184c92f9-2160-e811-b753-005056a75b8d;Baixar via processo de antecipação;;a1b7cea8-ee5c-e811-b753-000000000034;f0e903df-2160-e811-b753-005056a75b8d
67bd195a-f367-e811-b753-005056a75b8d;Cessão parcial - Exclusão;;a1b7cea8-ee5c-e811-b753-000000000082;7b7d2b45-f367-e811-b753-005056a75b8d
04a21d62-f367-e811-b753-005056a75b8d;Cessão parcial - Inclusão;;a1b7cea8-ee5c-e811-b753-000000000082;7b7d2b45-f367-e811-b753-005056a75b8d
66bd195a-f367-e811-b753-005056a75b8d;Cessão Total;;a1b7cea8-ee5c-e811-b753-000000000082;7b7d2b45-f367-e811-b753-005056a75b8d
40e79f68-f367-e811-b753-005056a75b8d;Cliente desistiu;;a1b7cea8-ee5c-e811-b753-000000000082;7b7d2b45-f367-e811-b753-005056a75b8d
6abb6737-f567-e811-b753-005056a75b8d;Cliente desistiu;;a1b7cea8-ee5c-e811-b753-000000000083;2fc77213-f567-e811-b753-005056a75b8d
